time,P,S,Fe2
0,0.010014859,0,0
10.5,0.071352155,0,0
21,0.054710253,0,0
31.5,0.042347697,0,0
42,0.033789004,0,0
52.5,0.028558692,0,0
63,0.022852897,0,0
73.5,0.017147103,0,0
84,0.013818722,0,0
94.5,0.01191679,0,0
105,0.009477963,0,0
115.5,0.008130081,0,0
126,0.007545999,0,0
136.5,0.006827129,0,0
147,0.006198117,0,0
157.5,0.005569106,0,0
168,0.005164741,0,0
178.5,0.004940094,0,0
189,0.004580659,0,0
199.5,0.004356012,0,0
210,0.004356012,0,0
220.5,0.004356012,0,0
231,0.00377193,0,0
241.5,0.003592212,0,0
252,0.003412495,0,0
262.5,0.003232777,0,0
273,0.003097989,0,0
283.5,0.002963201,0,0
294,0.002918271,0,0
304.5,0.002783483,0,0
315,0.002648695,0,0
325.5,0.002513907,0,0
336,0.002513907,0,0
346.5,0.002334189,0,0
357,0.00228926,0,0
367.5,0.00228926,0,0
378,0.002064613,0,0
388.5,0.001974754,0,0
399,0.001884895,0,0
409.5,0.001884895,0,0
420,0.001795036,0,0
430.5,0.001660248,0,0
