time,P,S,Fe2
0,0,0.011858739,0
10.5,0,0.310629061,0
21,0,0.91414511,0
31.5,0,1.218890839,0
42,0,1.543554588,0
52.5,0,1.752693813,0
63,0,1.615259465,0
73.5,0,1.784562648,0
84,0,1.812447878,0
94.5,0,1.649120102,0
105,0,1.655095508,0
115.5,0,1.84232491,0
126,0,1.774603637,0
136.5,0,1.784562648,0
147,0,1.788546252,0
157.5,0,1.914029787,0
168,0,1.792529856,0
178.5,0,1.896103568,0
189,0,1.824398691,0
199.5,0,1.690947947,0
210,0,1.884152755,0
220.5,0,1.700906958,0
231,0,1.872201942,0
241.5,0,1.659079113,0
252,0,1.525628369,0
262.5,0,1.643144695,0
273,0,1.874193744,0
283.5,0,1.700906958,0
294,0,1.957849434,0
304.5,0,1.692939749,0
315,0,1.605300455,0
325.5,0,1.81443968,0
336,0,1.880169151,0
346.5,0,1.571439818,0
357,0,1.75866922,0
367.5,0,1.686964343,0
378,0,1.748710209,0
388.5,0,1.846308514,0
399,0,1.722816781,0
409.5,0,1.724808583,0
420,0,1.296571122,0
430.5,0,1.746718407,0
441,0,1.760661022,0
451.5,0,1.892119964,0
