time,P,S,Fe2
0,0.007051776,0,0
10.5,0.0052546,0.298678248,0.000697325
21,0.009298246,0.701022281,0.005440525
31.5,0.012488233,0.653219029,0.008997925
42,0.006916988,0.629317404,0.0082568
52.5,0.010241763,0.561596131,0.0100355
63,0.006332905,0.603423976,0.010109612
73.5,0.006287976,0.73687472,0.012925887
84,0.006827129,0.742850126,0.01448225
94.5,0.005029953,0.894227089,0.015593938
105,0.005029953,0.951989351,0.012777662
115.5,0.0060184,0.892235287,0.013741125
126,0.005883611,0.828497618,0.0147787
136.5,0.003637142,0.94203034,0.010998962
147,0.003277706,0.924104121,0.009294375
157.5,0.002828412,0.896218891,0.009294375
168,0.00300813,0.824514014,0.010406062
178.5,0.004086436,0.778702565,0.011888312
189,0.004131365,0.82053041,0.010850737
199.5,0.002783483,0.874309068,0.0076639
210,0.003232777,0.844432035,0.00855325
220.5,0.003951647,1.045604052,0.009813162
231,0.002334189,0.878292672,0.006403987
241.5,0.003187848,0.993817196,0.008627362
252,0.002513907,1.025686031,0.01151775
262.5,0.002558836,0.963940164,0.006329875
273,0.002154472,0.93207133,0.0052923
283.5,0.00228926,0.983858186,0.005366412
294,0.002468977,1.081456491,0.006255762
304.5,0.003412495,0.995808998,0.006255762
315,0.002468977,1.077472886,0.005366412
325.5,0.00224433,0.977882779,0.005662862
336,0.003502353,1.113325325,0.008182687
346.5,0.00228926,0.997800801,0.006552212
357,0.003277706,1.159136774,0.007812125
367.5,0.001974754,1.095399106,0.004551175
378,0.002109542,0.977882779,0.005440525
388.5,0.001974754,1.212915432,0.00499585
399,0.00300813,1.228849849,0.005811087
409.5,0.002154472,1.256735079,0.003365375
420,0.002424048,1.422054657,0.004032387
430.5,0.004041506,1.312505539,0.005366412
441,0.002513907,1.449939887,0.004625287
451.5,0.002379119,1.394169427,0.003365375
