time,P,S,Fe2
0,0,0.011858739,0
10.5,0,0.224981568,0.000400875
21,0,0.201079943,0.0023278
31.5,0,0.318596269,0.004254725
42,0,0.428145387,0.004847625
52.5,0,0.489891254,0.009220262
63,0,0.553628922,0.006922775
73.5,0,0.712973094,0.008479137
84,0,0.699030479,0.011888312
94.5,0,0.784677971,0.007886237
105,0,0.766751752,0.005959312
115.5,0,0.872317265,0.007071
126,0,0.80260419,0.005736975
136.5,0,0.878292672,0.006996887
147,0,0.860366453,0.004477062
157.5,0,0.892235287,0.004254725
168,0,0.85837465,0.0041065
178.5,0,0.870325463,0.004921737
189,0,0.874309068,0.00558875
199.5,0,0.752809137,0.00381005
210,0,0.908169704,0.003587712
220.5,0,0.951989351,0.003587712
231,0,1.097390908,0.003439487
241.5,0,0.880284474,0.004625287
252,0,1.023694228,0.005440525
262.5,0,0.94203034,0.003884162
273,0,0.979874581,0.003365375
283.5,0,0.894227089,0.00321715
294,0,1.013735218,0.003291262
304.5,0,0.971907373,0.005440525
315,0,0.938046736,0.00321715
325.5,0,1.083448293,0.00321715
336,0,1.070700759,0.003587712
346.5,0,1.276653101,0.003291262
357,0,1.115317127,0.003661825
367.5,0,1.123284336,0.003068925
378,0,1.139218753,0.003143037
388.5,0,1.143202357,0.0041065
399,0,1.085440095,0.003365375
409.5,0,1.258726882,0.00262425
420,0,1.288603914,0.003068925
430.5,0,1.364292395,0.003735937
441,0,1.348357978,0.002179575
451.5,0,1.380226812,0.002253687
