time,P,S,Fe2
0,0,0.017834145,0.000326762
10.5,0,0.201079943,0
21,0,0.254858601,0.001142
31.5,0,0.424161783,0.002253687
42,0,0.581514152,0.002550137
52.5,0,0.539686307,0.00262425
63,0,0.738866522,0.0017349
73.5,0,0.671145249,0.001364337
84,0,0.824514014,0.001883125
94.5,0,0.703014083,0.0035136
105,0,1.515669358,0.004328837
115.5,0,0.890243485,0.002401912
126,0,0.800612388,0.002550137
136.5,0,0.973899175,0.004032387
147,0,0.969915571,0.004328837
157.5,0,1.065522073,0.002698362
168,0,0.908169704,0.004180612
178.5,0,1.005768009,0.002253687
189,0,1.089423699,0.002994812
199.5,0,1.037636843,0.004328837
210,0,1.009751613,0.003143037
220.5,0,1.298562924,0.002105462
231,0,1.282628507,0.002698362
241.5,0,1.228849849,0.0041065
252,0,1.153161368,0.00262425
262.5,0,1.119300731,0.002179575
273,0,1.177062994,0.002253687
283.5,0,1.077472886,0.003365375
294,0,1.228849849,0.001957237
304.5,0,1.226858047,0.002179575
315,0,1.131251544,0.002994812
325.5,0,1.224866245,0.00203135
336,0,1.171087587,0.001809012
346.5,0,1.149177764,0.003143037
357,0,1.206940026,0.003068925
367.5,0,1.324456352,0.003068925
378,0,1.250759673,0.001883125
388.5,0,1.212915432,0.0017349
399,0,1.274661299,0.001660787
409.5,0,1.455915294,0.001660787
420,0,1.366284197,0.001586675
430.5,0,1.422054657,0.001586675
441,0,1.455915294,0.00203135
451.5,0,1.475833315,0.001512562
