time,P,S,Fe2
0,0.081836261,0,0
10.5,0.05815711,0,0
21,0.039516076,0,0
31.5,0.029439841,0,0
42,0.019867418,0,0
52.5,0.014325489,0,0
63,0.009287372,0,0
73.5,0.006264501,0,0
84,0.003745442,0,0
94.5,0.0052546,0,0
105,0.004715447,0,0
115.5,0.004176294,0,0
126,0.004041506,0,0
136.5,0.003682071,0,0
147,0.003367565,0,0
157.5,0.003367565,0,0
168,0.003097989,0,0
178.5,0.002468977,0,0
189,0.002334189,0,0
199.5,0.002154472,0,0
210,0.001929825,0,0
220.5,0.001435601,0,0
231,0.001929825,0,0
241.5,0.001435601,0,0
252,0.001166025,0,0
262.5,0.001300813,0,0
273,0.001300813,0,0
283.5,0.001345742,0,0
294,0.001210954,0,0
304.5,0.000851519,0,0
315,0.001076166,0,0
325.5,0.001166025,0,0
336,0.001121095,0,0
346.5,0.001121095,0,0
357,0.000716731,0,0
367.5,0.00076166,0,0
378,0.000941378,0,0
388.5,0.000986307,0,0
399,0.000581943,0,0
409.5,0.000896448,0,0
420,0.000626872,0,0
430.5,0.000537013,0,0
