time,P,S,Fe2
0,0.00970261,0.03177676,0
10.5,0.004311083,0.037752167,0
21,0.0052546,0.999792603,0.000104425
31.5,0.006647411,1.095399106,0.000993775
42,0.009163457,0.657202634,0.0035136
52.5,0.008175011,1.111333523,0.003958275
63,0.00673727,0.969915571,0.004180612
73.5,0.008444587,0.776710762,0.00440295
84,0.006602482,0.924104121,0.00499585
94.5,0.004625588,1.198972817,0.004921737
105,0.004445871,0.83048942,0.005144075
115.5,0.003547283,0.762768147,0.005144075
126,0.003322636,0.842440233,0.00558875
136.5,0.00377193,0.772727158,0.005366412
147,0.003502353,0.888251683,0.00558875
157.5,0.004850235,1.017718822,0.005440525
168,0.003727,1.149177764,0.005440525
178.5,0.002783483,0.866341859,0.004921737
189,0.003637142,1.242792464,0.0052923
199.5,0.004715447,1.035645041,0.005218187
210,0.002424048,1.310513737,0.005218187
220.5,0.002334189,0.98784179,0.0052923
231,0.003097989,1.262710486,0.005218187
241.5,0.002963201,1.131251544,0.005440525
252,0.001839966,1.340390769,0.0052923
262.5,0.001795036,1.42404646,0.0052923
273,0.001974754,1.420062855,0.005514637
283.5,0.000222507,1.39616123,0.005218187
294,0.002064613,1.495751337,0.005662862
304.5,0.003097989,1.37823501,0.0058852
315,0.002424048,1.296571122,0.006033425
325.5,0.002064613,1.348357978,0.006255762
336,0.00152546,1.509693952,0.006329875
346.5,0.001839966,1.001784405,0.006329875
357,0.003232777,1.384210417,0.006700437
367.5,0.001974754,1.400144834,0.00618165
378,0.001929825,1.1830384,0.006107537
388.5,0.002199401,1.487784128,0.00618165
399,0.002783483,1.290595716,0.006255762
409.5,0.001884895,1.475833315,0.005811087
420,0.001795036,1.491767732,0.005811087
430.5,0.001839966,1.48977593,0.005736975
441,0.002648695,1.53558738,0.005959312
451.5,0.003187848,1.455915294,0.00618165
