time,P,S,Fe2
0,0,0.013850541,0
10.5,0,0.019825947,0.000400875
21,0,0,0.002846587
31.5,0,0.019825947,0.005218187
42,0,0.025801354,0.008997925
52.5,0,0.027793156,0.014704588
63,0,0.041735771,0.020040688
73.5,0,0.047711177,0.0236722
84,0,0.055678386,0.024783888
94.5,0,0.061653792,0.0224864
105,0,0.057670188,0.018929
115.5,0,0.055678386,0.015519825
126,0,0.055678386,0.013148225
136.5,0,0.05966199,0.011443637
147,0,0.063645595,0.010257837
157.5,0,0.075596407,0.0094426
168,0,0.081571814,0.0094426
178.5,0,0.079580012,0.009072037
189,0,0.101489835,0.0088497
199.5,0,0.113440648,0.008701475
210,0,0.131366868,0.00855325
220.5,0,0.157260295,0.008405025
231,0,0.220997964,0.008034462
241.5,0,0.22697337,0.007886237
252,0,0.260834007,0.007886237
262.5,0,0.334530686,0.007589787
273,0,0.404243761,0.007515675
283.5,0,0.519768286,0.007219225
294,0,0.637284612,0.006848662
304.5,0,0.754800939,0.006107537
315,0,0.888251683,0.005069962
325.5,0,0.930079528,0.003587712
336,0,1.079464688,0.004847625
346.5,0,1.360308791,0.002550137
357,0,1.260718684,0.00203135
367.5,0,1.306530133,0.001809012
378,0,1.234825256,0.00143845
388.5,0,1.358316989,0.00143845
399,0,1.354333384,0.001364337
409.5,0,1.447948085,0.001142
