time,P,S,Fe2
0,0.066121842,0,0
10.5,0.084190193,0,0
21,0.06089153,0,0
31.5,0.045200594,0,0
42,0.035690936,0,0
52.5,0.028558692,0,0
63,0.02332838,0,0
73.5,0.017622585,0,0
84,0.014294205,0,0
94.5,0.010490342,0,0
105,0.009567822,0,0
115.5,0.008399658,0,0
126,0.007321352,0,0
136.5,0.006692341,0,0
147,0.005838682,0,0
157.5,0.005119812,0,0
168,0.004580659,0,0
178.5,0.003727,0,0
189,0.004086436,0,0
199.5,0.003816859,0,0
210,0.003816859,0,0
220.5,0.003592212,0,0
231,0.003412495,0,0
241.5,0.003322636,0,0
252,0.003097989,0,0
262.5,0.00300813,0,0
273,0.002873342,0,0
283.5,0.002513907,0,0
294,0.002064613,0,0
304.5,0.00228926,0,0
315,0.002424048,0,0
325.5,0.002424048,0,0
336,0.002199401,0,0
346.5,0.00228926,0,0
357,0.002064613,0,0
367.5,0.001884895,0,0
378,0.001974754,0,0
388.5,0.001839966,0,0
399,0.001705178,0,0
409.5,0.001750107,0,0
420,0.001615319,0,0
430.5,0.001480531,0,0
