time,P,S,Fe2
0,0.01123021,0,0
10.5,0.015183997,0.149293087,0.006922775
21,0.015318785,0.047711177,0.011147187
31.5,0.015498502,0.039743969,0.017594975
42,0.015139067,0.039743969,0.023153413
52.5,0.014779632,0.043727573,0.025525013
63,0.01419555,0.043727573,0.027451938
73.5,0.013162174,0.045719375,0.026266138
84,0.01266795,0.04970298,0.025006225
94.5,0.012353445,0.057670188,0.022041725
105,0.012083868,0.063645595,0.018780775
115.5,0.011409927,0.063645595,0.016483288
126,0.010601198,0.069621001,0.0147787
136.5,0.010062045,0.081571814,0.013815238
147,0.010286692,0.079580012,0.01270355
157.5,0.009388104,0.091530825,0.011962425
168,0.00893881,0.097506231,0.011443637
178.5,0.008579375,0.109457044,0.010998962
189,0.008399658,0.113440648,0.010406062
199.5,0.008354728,0.119416055,0.0100355
210,0.008085152,0.131366868,0.0094426
220.5,0.008040223,0.139334076,0.008701475
231,0.007680787,0.165227504,0.008775587
241.5,0.007725717,0.179170119,0.007812125
252,0.007545999,0.167219306,0.00736745
262.5,0.007411211,0.191120932,0.006922775
273,0.007231493,0.21701436,0.0064781
283.5,0.007096705,0.242907788,0.006107537
294,0.006467694,0.308637258,0.00618165
304.5,0.006827129,0.314612665,0.0058852
315,0.005344459,0.41221097,0.005366412
325.5,0.003053059,0.46798143,0.00558875
336,0.003187848,0.517776484,0.005514637
346.5,0.002379119,0.55163712,0.0052923
357,0.002513907,0.655210832,0.00499585
367.5,0.001839966,0.752809137,0.004254725
378,0.001750107,0.860366453,0.003587712
388.5,0.001255884,0.842440233,0.003068925
399,0.001255884,0.936054934,0.002401912
409.5,0.000986307,1.055563063,0.00203135
420,0.000896448,1.113325325,0.0017349
430.5,0.000896448,1.101374512,0.001512562
441,0.000941378,1.149177764,0.0159645
451.5,0.001076166,1.09938271,0.001216112
