time,P,S,Fe2
0,0,0.013850541,0
10.5,0,0.045719375,0.003661825
21,0,0.053686584,0.015149263
31.5,0,0.071612803,0.026636701
42,0,0.081571814,0.036641888
52.5,0,0.093522627,0.038717038
63,0,0.101489835,0.041533314
73.5,0,0.103481638,0.037975913
84,0,0.109457044,0.032491588
94.5,0,0.11543245,0.026192025
105,0,0.135350472,0.020930038
115.5,0,0.179170119,0.016631513
126,0,0.209047151,0.01329645
136.5,0,0.21701436,0.011295412
147,0,0.248883194,0.009516712
157.5,0,0.296686446,0.008479137
168,0,0.316604467,0.007293337
178.5,0,0.358432312,0.006403987
189,0,0.390301146,0.0058852
199.5,0,0.420178179,0.005440525
210,0,0.477940441,0.004921737
220.5,0,0.505825671,0.004773512
231,0,0.609399382,0.004254725
241.5,0,0.611391184,0.0041065
252,0,0.637284612,0.003884162
262.5,0,0.671145249,0.00381005
273,0,0.710981292,0.003735937
283.5,0,0.768743554,0.003735937
294,0,0.866341859,0.0035136
304.5,0,0.888251683,0.003291262
315,0,0.916136913,0.002994812
325.5,0,0.894227089,0.002550137
336,0,0.967923768,0.0023278
346.5,0,1.103366314,0.003068925
357,0,1.141210555,0.0017349
367.5,0,1.145194159,0.001364337
378,0,1.153161368,0.001216112
388.5,0,1.214907234,0.00084555
399,0,1.075481084,0.000771437
409.5,0,1.053571261,0.000697325
420,0,1.200964619,0.0005491
430.5,0,1.318480946,0.0005491
441,0,1.280636705,0.000400875
451.5,0,1.244784267,0.007812125
