time,P,S,Fe2
0,0.008175011,0.015842343,0
10.5,0.014105691,0.296686446,0.00084555
21,0.014869491,0.597448569,0.004921737
31.5,0.015723149,0.491883056,0.0035136
42,0.00970261,0.543669912,0.0058852
52.5,0.012173727,0.547653516,0.005736975
63,0.009567822,0.611391184,0.007886237
73.5,0.009477963,0.784677971,0.008923812
84,0.00750107,0.722932105,0.009220262
94.5,0.008175011,0.782686169,0.008627362
105,0.007231493,0.80260419,0.010257837
115.5,0.007231493,0.84841564,0.010480175
126,0.004221224,0.854391046,0.007738012
136.5,0.00673727,0.854391046,0.010183725
147,0.002424048,0.866341859,0.006033425
157.5,0.005389388,0.846423838,0.008997925
168,0.004805306,0.866341859,0.008701475
178.5,0.004311083,0.930079528,0.008330912
189,0.003996577,0.916136913,0.008034462
199.5,0.003457424,0.669153447,0.008775587
210,0.002828412,0.930079528,0.007441562
220.5,0.00300813,0.991825394,0.008034462
231,0.002693624,1.137226951,0.007886237
241.5,0.002558836,0.912153308,0.007515675
252,0.002334189,0.993817196,0.0076639
262.5,0.002109542,1.009751613,0.006848662
273,0.002019683,0.938046736,0.007145112
283.5,0.000716731,1.021702426,0.005811087
294,0.001795036,1.045604052,0.0064781
304.5,0.001705178,0.934063132,0.00677455
315,0.00152546,1.145194159,0.005811087
325.5,0.000716731,1.027677833,0.005144075
336,0.001435601,1.147185961,0.006552212
346.5,0.000537013,1.179054796,0.0035136
357,0.001255884,1.167103983,0.005959312
367.5,0.000537013,1.270677694,0.003735937
378,0.001076166,1.151169566,0.005144075
388.5,0.000537013,1.248767871,0.0035136
399,0.001076166,1.191005609,0.0052923
409.5,0.000492084,1.274661299,0.003068925
420,0.00080659,1.394169427,0.005662862
430.5,0.00080659,1.352341582,0.00499585
441,0.00080659,1.376243208,0.004180612
451.5,0.000537013,1.316489144,0.002846587
