time,P,S,Fe2
0,0.009972187,0.015842343,0
10.5,0.013386821,0.165227504,0.005811087
21,0.014554985,0.055678386,0.007515675
31.5,0.01415062,0.053686584,0.01151775
42,0.01415062,0.057670188,0.014334025
52.5,0.013656397,0.053686584,0.016409175
63,0.01271288,0.05966199,0.0177432
73.5,0.012173727,0.067629199,0.017520863
84,0.012218656,0.071612803,0.017002075
94.5,0.012173727,0.083563616,0.015890388
105,0.011275139,0.07758821,0.014704588
115.5,0.010780916,0.099498033,0.013444675
126,0.010196834,0.093522627,0.012555325
136.5,0.009927257,0.097506231,0.012184762
147,0.009567822,0.091530825,0.0118142
157.5,0.009118528,0.10547344,0.01151775
168,0.008714163,0.107465242,0.011369525
178.5,0.008624305,0.109457044,0.011665975
189,0.008444587,0.117424253,0.010183725
199.5,0.008130081,0.113440648,0.010109612
210,0.007995293,0.13335867,0.009294375
220.5,0.008130081,0.141325878,0.008627362
231,0.007680787,0.17120291,0.007886237
241.5,0.007770646,0.185145525,0.007145112
252,0.007096705,0.19908814,0.006700437
262.5,0.00673727,0.240915986,0.006255762
273,0.006782199,0.276768424,0.006329875
283.5,0.003727,0.358432312,0.006255762
294,0.003053059,0.477940441,0.006626325
304.5,0.003367565,0.701022281,0.00618165
315,0.003232777,0.866341859,0.005218187
325.5,0.003367565,1.077472886,0.0041065
336,0.003097989,1.159136774,0.0035136
346.5,0.002873342,1.354333384,0.002550137
357,0.002873342,1.316489144,0.001957237
367.5,0.003053059,1.368275999,0.001883125
378,0.003097989,1.418071053,0.00143845
388.5,0.002873342,1.410103845,0.001216112
399,0.002873342,1.455915294,0.001290225
409.5,0.003232777,1.589366038,0.000919662
