time,P,S,Fe2
0,0,0.025801354,0
10.5,0,0.205063547,0.000104425
21,0,0.213030755,0.001660787
31.5,0,0.430137189,0.00321715
42,0,0.625333799,0.004921737
52.5,0,0.712973094,0.005811087
63,0,0.85837465,0.006996887
73.5,0,0.94203034,0.008034462
84,0,1.007759811,0.008923812
94.5,0,1.073489282,0.009961387
105,0,1.149177764,0.010406062
115.5,0,1.131251544,0.010480175
126,0,1.21092363,0.010554287
136.5,0,1.242792464,0.010406062
147,0,1.328439957,0.010480175
157.5,0,1.123284336,0.010406062
168,0,1.123284336,0.0100355
178.5,0,1.254743277,0.009887275
189,0,1.340390769,0.009516712
199.5,0,1.230841651,0.009590825
210,0,1.278644903,0.009220262
220.5,0,1.250759673,0.008775587
231,0,1.589366038,0.008923812
241.5,0,1.145194159,0.008479137
252,0,1.356325187,0.00855325
262.5,0,1.352341582,0.008182687
273,0,1.348357978,0.008108575
283.5,0,1.420062855,0.007219225
294,0,1.374251406,0.00736745
304.5,0,1.298562924,0.0076639
315,0,1.441972679,0.006848662
325.5,0,1.087431897,0.007515675
336,0,1.260718684,0.007071
346.5,0,1.09938271,0.007293337
357,0,1.485792326,0.006996887
367.5,0,1.143202357,0.007071
378,0,1.121292534,0.006626325
388.5,0,1.567456214,0.006848662
399,0,1.422054657,0.006626325
409.5,0,1.497743139,0.006552212
420,0,1.306530133,0.00677455
430.5,0,1.463882502,0.006403987
441,0,1.529611973,0.006626325
451.5,0,1.487784128,0.0064781
