time,P,S,Fe2
0,0,0.019825947,0
10.5,0,0.025801354,0
21,0,0.027793156,0
31.5,0,0.03177676,0
42,0,0.037752167,0.000474987
52.5,0,0.037752167,0.002179575
63,0,0.043727573,0.004328837
73.5,0,0.04970298,0.00677455
84,0,0.05966199,0.008330912
94.5,0,0.071612803,0.009072037
105,0,0.07758821,0.009294375
115.5,0,0.08754722,0.008997925
126,0,0.093522627,0.008997925
136.5,0,0.103481638,0.00914615
147,0,0.129375065,0.00914615
157.5,0,0.119416055,0.010480175
168,0,0.129375065,0.009368487
178.5,0,0.145309483,0.009368487
189,0,0.145309483,0.009664937
199.5,0,0.13335867,0.00914615
210,0,0.141325878,0.009072037
220.5,0,0.157260295,0.00914615
231,0,0.165227504,0.0094426
241.5,0,0.167219306,0.009887275
252,0,0.17120291,0.0100355
262.5,0,0.183153723,0.0100355
273,0,0.193112734,0.010109612
283.5,0,0.205063547,0.008923812
294,0,0.278760226,0.008775587
304.5,0,0.392292949,0.007886237
315,0,0.513792879,0.006255762
325.5,0,0.695046875,0.005144075
336,0,0.844432035,0.00440295
346.5,0,1.023694228,0.003068925
357,0,1.055563063,0.002550137
367.5,0,1.115317127,0.002105462
378,0,1.179054796,0.001809012
388.5,0,1.216899036,0.001586675
399,0,1.224866245,0.001364337
409.5,0,1.39616123,0.001586675
