time,P,S,Fe2
0,0,0,0
10.5,0,0.234940579,0
21,0,0.782686169,0
31.5,0,1.09938271,0
42,0,1.234825256,0
52.5,0,1.430021866,0
63,0,1.491767732,0
73.5,0,1.39616123,0
84,0,1.4618907,0
94.5,0,1.497743139,0
105,0,1.326448154,0
115.5,0,1.61924307,0
126,0,1.499734941,0
136.5,0,1.430021866,0
147,0,1.519652962,0
157.5,0,1.539570984,0
168,0,1.732775792,0
178.5,0,1.491767732,0
189,0,1.523636567,0
199.5,0,1.579407027,0
210,0,1.571439818,0
220.5,0,1.571439818,0
231,0,1.708874166,0
241.5,0,1.559489005,0
252,0,1.599325048,0
262.5,0,1.60131685,0
273,0,1.51766116,0
283.5,0,1.677005332,0
294,0,1.579407027,0
304.5,0,1.422054657,0
315,0,1.465874305,0
325.5,0,1.565464412,0
336,0,1.487784128,0
346.5,0,1.477825117,0
357,0,1.617251268,0
367.5,0,1.557497203,0
378,0,1.402136636,0
388.5,0,1.422054657,0
399,0,1.682980738,0
409.5,0,1.585382433,0
420,0,1.603308653,0
430.5,0,1.422054657,0
441,0,1.392177625,0
451.5,0,1.525628369,0
