time,P,S,Fe2
0,0,0.00389153,0
10.5,0,0.30067005,0
21,0,0.79264518,0
31.5,0,0.975890977,0
42,0,1.288603914,0
52.5,0,1.449939887,0
63,0,1.39616123,0
73.5,0,1.579407027,0
84,0,1.533595578,0
94.5,0,1.621234872,0
105,0,1.627210278,0
115.5,0,1.696923353,0
126,0,1.615259465,0
136.5,0,1.541562786,0
147,0,1.561480808,0
157.5,0,1.60131685,0
168,0,1.611275861,0
178.5,0,1.651111904,0
189,0,1.639161091,0
199.5,0,1.645136498,0
210,0,1.557497203,0
220.5,0,1.625218476,0
231,0,1.627210278,0
241.5,0,1.639161091,0
252,0,1.631193883,0
262.5,0,1.551521797,0
273,0,1.553513599,0
283.5,0,1.712857771,0
294,0,1.665054519,0
304.5,0,1.521644765,0
315,0,1.581398829,0
325.5,0,1.637169289,0
336,0,1.60131685,0
346.5,0,1.708874166,0
357,0,1.533595578,0
367.5,0,1.613267663,0
378,0,1.613267663,0
388.5,0,1.481808722,0
399,0,1.710865968,0
409.5,0,1.641152893,0
