time,P,S,Fe2
0,0.01271288,0.029784958,0
10.5,0.011364998,0.248883194,0.000474987
21,0.011769362,0.553628922,0.006329875
31.5,0.015498502,0.553628922,0.007515675
42,0.014330338,0.563587933,0.006552212
52.5,0.009972187,0.491883056,0.006848662
63,0.008893881,0.838456629,0.007738012
73.5,0.008130081,0.824514014,0.008627362
84,0.006692341,0.784677971,0.009813162
94.5,0.006512623,0.916136913,0.01033195
105,0.005569106,0.756792741,0.010702512
115.5,0.003996577,0.790653377,0.01092485
126,0.003457424,1.021702426,0.011147187
136.5,0.003322636,0.838456629,0.011147187
147,0.005703894,1.009751613,0.011295412
157.5,0.003951647,0.80260419,0.010998962
168,0.003457424,1.147185961,0.010998962
178.5,0.003547283,1.147185961,0.011147187
189,0.003367565,0.896218891,0.011147187
199.5,0.002963201,1.059546667,0.0106284
210,0.002918271,0.948005747,0.010776625
220.5,0.002828412,0.930079528,0.0106284
231,0.00228926,1.061538469,0.01033195
241.5,0.003187848,1.189013806,0.0100355
252,0.002424048,1.270677694,0.010257837
262.5,0.002648695,1.248767871,0.010109612
273,0.00300813,1.167103983,0.00973905
283.5,0.000177578,1.260718684,0.008997925
294,0.003682071,1.386202219,0.009220262
304.5,0.002918271,1.457907096,0.008923812
315,0.002558836,1.274661299,0.008997925
325.5,0.002379119,1.334415363,0.009368487
336,0.002648695,1.439980877,0.008997925
346.5,0.001660248,1.447948085,0.008775587
357,0.002963201,1.258726882,0.009220262
367.5,0.001974754,1.300554727,0.008775587
378,0.002468977,1.310513737,0.008923812
388.5,0.001750107,1.394169427,0.008330912
399,0.002918271,1.198972817,0.008479137
409.5,0.002019683,1.348357978,0.008182687
420,0.002603766,1.386202219,0.00855325
430.5,0.002558836,1.334415363,0.0082568
441,0.001705178,1.483800524,0.007812125
451.5,0.00152546,1.439980877,0.007738012
