time,P,S,Fe2
0,0.009612751,0.001899728,0
10.5,0.012802739,0.177178317,0.0082568
21,0.015094138,0.051694782,0.011740087
31.5,0.014554985,0.051694782,0.01744675
42,0.014554985,0.057670188,0.025969688
52.5,0.012533162,0.079580012,0.037679463
63,0.011499786,0.101489835,0.044275476
73.5,0.010870774,0.113440648,0.045313051
84,0.011095421,0.127383263,0.037086563
94.5,0.010601198,0.11543245,0.031972801
105,0.010646128,0.113440648,0.024635663
115.5,0.009657681,0.117424253,0.017891425
126,0.009522893,0.127383263,0.014111688
136.5,0.008893881,0.141325878,0.01151775
147,0.008489516,0.14331768,0.009961387
157.5,0.008175011,0.155268493,0.008775587
168,0.008085152,0.173194713,0.007886237
178.5,0.007770646,0.187137328,0.007812125
189,0.008085152,0.201079943,0.007293337
199.5,0.006063329,0.234940579,0.006403987
210,0.0060184,0.330547082,0.005811087
220.5,0.007905434,0.41221097,0.006848662
231,0.004176294,0.525743692,0.005144075
241.5,0.004940094,0.641268217,0.005366412
252,0.002558836,0.714964896,0.004773512
262.5,0.002109542,0.852399244,0.004625287
273,0.002783483,0.995808998,0.004847625
283.5,0.00228926,1.1830384,0.004477062
294,0.002648695,1.254743277,0.004032387
304.5,0.004311083,1.250759673,0.004921737
315,0.002603766,1.376243208,0.003068925
325.5,0.002963201,1.380226812,0.002846587
336,0.002468977,1.437989075,0.002253687
346.5,0.002873342,1.457907096,0.002253687
357,0.003861789,1.430021866,0.002994812
367.5,0.002379119,1.53558738,0.0017349
378,0.002513907,1.457907096,0.0017349
388.5,0.003951647,1.453923492,0.00262425
399,0.004356012,1.432013668,0.00262425
409.5,0.002424048,1.485792326,0.00143845
