time,P,S,Fe2
0,0,0.013850541,0
10.5,0,0.358432312,0
21,0,0.85837465,0
31.5,0,1.296571122,0
42,0,1.493759535,0
52.5,0,1.635177487,0
63,0,1.571439818,0
73.5,0,1.720824979,0
84,0,1.641152893,0
94.5,0,1.633185685,0
105,0,1.748710209,0
115.5,0,1.770620033,0
126,0,1.627210278,0
136.5,0,1.850292119,0
147,0,1.852283921,0
157.5,0,1.760661022,0
168,0,1.81443968,0
178.5,0,1.774603637,0
189,0,1.764644626,0
199.5,0,1.794521658,0
210,0,1.688956145,0
220.5,0,1.802488867,0
231,0,1.937931413,0
241.5,0,1.78655445,0
252,0,1.886144557,0
262.5,0,1.834357701,0
273,0,1.894111766,0
283.5,0,1.810456076,0
294,0,1.894111766,0
304.5,0,1.856267525,0
315,0,1.366284197,0
325.5,0,1.798505263,0
336,0,1.776595439,0
346.5,0,1.736759396,0
357,0,1.722816781,0
367.5,0,1.876185546,0
378,0,1.595341444,0
388.5,0,1.810456076,0
399,0,1.880169151,0
409.5,0,1.836349504,0
420,0,1.908054381,0
430.5,0,1.810456076,0
441,0,1.820415086,0
451.5,0,1.860251129,0
