time,P,S,Fe2
0,0,0,0
10.5,0,0.02181775,0.00440295
21,0,0.011858739,0.01033195
31.5,0,0.02181775,0.017002075
42,0,0.03177676,0.029082413
52.5,0,0.047711177,0.044868376
63,0,0.071612803,0.060950789
73.5,0,0.107465242,0.074958052
84,0,0.125391461,0.089039428
94.5,0,0.125391461,0.101342103
105,0,0.123399659,0.106752316
115.5,0,0.155268493,0.106529979
126,0,0.135350472,0.098674053
136.5,0,0.129375065,0.08763129
147,0,0.137342274,0.069399615
157.5,0,0.123399659,0.051093826
168,0,0.109457044,0.036790113
178.5,0,0.127383263,0.026266138
189,0,0.155268493,0.0201148
199.5,0,0.173194713,0.0153716
210,0,0.195104536,0.012184762
220.5,0,0.268801216,0.00973905
231,0,0.364407718,0.008108575
241.5,0,0.35644051,0.006848662
252,0,0.420178179,0.005959312
262.5,0,0.559604329,0.0052923
273,0,0.493874858,0.0046994
283.5,0,0.587489559,0.003958275
294,0,0.677120655,0.003958275
304.5,0,0.758784543,0.003587712
315,0,0.790653377,0.00321715
325.5,0,0.822522212,0.003068925
336,0,0.878292672,0.0029207
346.5,0,1.059546667,0.002698362
357,0,1.009751613,0.002698362
367.5,0,1.079464688,0.002698362
378,0,1.051579458,0.002550137
388.5,0,1.105358116,0.002253687
399,0,0.999792603,0.00203135
409.5,0,1.290595716,0.001809012
420,0,1.159136774,0.001660787
430.5,0,1.196981015,0.00143845
441,0,1.089423699,0.001290225
451.5,0,1.165112181,0.001216112
