time,P,S,Fe2
0,0,0.027793156,0
10.5,0,0.21701436,3.03E-05
21,0,0.270793018,0.001216112
31.5,0,0.465989628,0.002476025
42,0,0.649235425,0.003587712
52.5,0,0.665169842,0.0046994
63,0,0.948005747,0.005514637
73.5,0,0.884268078,0.0064781
84,0,1.007759811,0.007145112
94.5,0,1.049587656,0.007812125
105,0,1.123284336,0.008330912
115.5,0,1.095399106,0.008627362
126,0,1.21092363,0.008479137
136.5,0,1.244784267,0.008405025
147,0,1.232833454,0.008775587
157.5,0,1.204948224,0.00855325
168,0,0.922112319,0.008405025
178.5,0,1.316489144,0.008182687
189,0,1.252751475,0.008108575
199.5,0,1.157144972,0.008108575
210,0,1.250759673,0.007515675
220.5,0,1.246776069,0.007293337
231,0,1.286612112,0.007145112
241.5,0,1.400144834,0.007145112
252,0,1.15515317,0.007145112
262.5,0,1.198972817,0.006922775
273,0,1.398153032,0.006996887
283.5,0,1.320472748,0.00618165
294,0,1.420859576,0.006626325
304.5,0,1.565464412,0.00677455
315,0,1.298562924,0.006403987
325.5,0,1.443964481,0.006329875
336,0,1.447948085,0.006403987
346.5,0,1.581398829,0.006255762
357,0,1.453923492,0.006107537
367.5,0,1.561480808,0.0058852
378,0,1.441972679,0.005811087
388.5,0,1.471849711,0.005736975
399,0,1.23880886,0.005662862
409.5,0,1.53558738,0.00558875
420,0,1.509693952,0.005736975
430.5,0,1.557497203,0.005514637
441,0,1.483800524,0.00558875
451.5,0,1.439980877,0.005440525
